0.03, false
-3658.0415039063, 199.93840026855, 6147.8774414063
-3717.6303710938, 199.87608337402, 6122.5087890625
-3880.7531738281, 199.78117370605, 6191.9624023438
-3944.0825195313, 199.85157775879, 6162.9086914063
-3877.0302734375, 199.95204162598, 6059.765625
-3637.7731933594, 199.87814331055, 5935.1376953125
-3553.7250976563, 199.84928894043, 5949.8759765625
-3385.4975585938, 199.9100189209, 6300.8862304688
-3407.1350097656, 199.85740661621, 6417.4580078125
-3568.3229980469, 199.86605834961, 6393.1689453125
-3587.0249023438, 199.87142944336, 6272.29199218751
